1.8860 	WARNING 	We strongly recommend you activate the PTB sound engine in PsychoPy prefs as the preferred audio engine. Its timing is vastly superior. Your prefs are currently set to use ['sounddevice', 'PTB', 'pyo', 'pygame'] (in that order).
62.1074 	EXP 	grating: ori = 3.0
62.1074 	EXP 	fixation: autoDraw = True
63.1074 	EXP 	fixation: autoDraw = False
63.1074 	EXP 	grating: autoDraw = True
63.4071 	EXP 	grating: autoDraw = False
63.7438 	EXP 	New trial (rep=27, index=0): None
63.7448 	DATA 	Keypress: down
63.7572 	EXP 	fixation: autoDraw = False
63.7572 	EXP 	grating: autoDraw = False
63.7572 	EXP 	grating: ori = 0.0
63.7572 	EXP 	fixation: autoDraw = True
64.7573 	EXP 	fixation: autoDraw = False
64.7573 	EXP 	grating: autoDraw = True
65.0572 	EXP 	grating: autoDraw = False
65.6275 	EXP 	New trial (rep=28, index=0): None
65.6297 	DATA 	Keypress: down
65.6405 	EXP 	fixation: autoDraw = False
65.6405 	EXP 	grating: autoDraw = False
65.6405 	EXP 	grating: ori = 0.0
65.6405 	EXP 	fixation: autoDraw = True
66.6402 	EXP 	fixation: autoDraw = False
66.6402 	EXP 	grating: autoDraw = True
66.9400 	EXP 	grating: autoDraw = False
67.4244 	EXP 	New trial (rep=29, index=0): None
67.4250 	DATA 	Keypress: down
67.4402 	EXP 	fixation: autoDraw = False
67.4402 	EXP 	grating: autoDraw = False
67.4402 	EXP 	grating: ori = -2.0
67.4402 	EXP 	fixation: autoDraw = True
68.4233 	EXP 	grating: autoDraw = True
68.4399 	EXP 	fixation: autoDraw = False
68.7232 	EXP 	grating: autoDraw = False
69.1591 	EXP 	New trial (rep=30, index=0): None
69.1601 	DATA 	Keypress: up
69.1729 	EXP 	fixation: autoDraw = False
69.1729 	EXP 	grating: autoDraw = False
69.1729 	EXP 	grating: ori = -3.0
69.1729 	EXP 	fixation: autoDraw = True
70.1731 	EXP 	fixation: autoDraw = False
70.1731 	EXP 	grating: autoDraw = True
70.4731 	EXP 	grating: autoDraw = False
70.7420 	EXP 	New trial (rep=31, index=0): None
70.7430 	DATA 	Keypress: up
70.7564 	EXP 	fixation: autoDraw = False
70.7564 	EXP 	grating: autoDraw = False
70.7564 	EXP 	grating: ori = 0.0
70.7564 	EXP 	fixation: autoDraw = True
71.7562 	EXP 	fixation: autoDraw = False
71.7562 	EXP 	grating: autoDraw = True
72.0559 	EXP 	grating: autoDraw = False
72.7253 	EXP 	New trial (rep=32, index=0): None
72.7264 	DATA 	Keypress: up
72.7393 	EXP 	fixation: autoDraw = False
72.7393 	EXP 	grating: autoDraw = False
72.7393 	EXP 	grating: ori = -5.0
72.7393 	EXP 	fixation: autoDraw = True
73.7394 	EXP 	fixation: autoDraw = False
73.7394 	EXP 	grating: autoDraw = True
74.0392 	EXP 	grating: autoDraw = False
74.4247 	EXP 	New trial (rep=33, index=0): None
74.4258 	DATA 	Keypress: down
74.4393 	EXP 	fixation: autoDraw = False
74.4393 	EXP 	grating: autoDraw = False
74.4393 	EXP 	grating: ori = -3.0
74.4393 	EXP 	fixation: autoDraw = True
75.4391 	EXP 	fixation: autoDraw = False
75.4391 	EXP 	grating: autoDraw = True
75.7389 	EXP 	grating: autoDraw = False
76.1437 	EXP 	New trial (rep=34, index=0): None
76.1457 	DATA 	Keypress: down
76.1557 	EXP 	fixation: autoDraw = False
76.1557 	EXP 	grating: autoDraw = False
76.1557 	EXP 	grating: ori = 0.0
76.1557 	EXP 	fixation: autoDraw = True
77.1554 	EXP 	fixation: autoDraw = False
77.1554 	EXP 	grating: autoDraw = True
77.4552 	EXP 	grating: autoDraw = False
77.8085 	EXP 	New trial (rep=35, index=0): None
77.8095 	DATA 	Keypress: up
77.8219 	EXP 	fixation: autoDraw = False
77.8219 	EXP 	grating: autoDraw = False
77.8219 	EXP 	grating: ori = 0.0
77.8219 	EXP 	fixation: autoDraw = True
78.8218 	EXP 	fixation: autoDraw = False
78.8218 	EXP 	grating: autoDraw = True
79.1218 	EXP 	grating: autoDraw = False
79.3586 	EXP 	New trial (rep=36, index=0): None
79.3596 	DATA 	Keypress: up
79.3719 	EXP 	fixation: autoDraw = False
79.3719 	EXP 	grating: autoDraw = False
79.3719 	EXP 	grating: ori = 0.0
79.3719 	EXP 	fixation: autoDraw = True
80.3719 	EXP 	fixation: autoDraw = False
80.3719 	EXP 	grating: autoDraw = True
80.6720 	EXP 	grating: autoDraw = False
80.9405 	EXP 	New trial (rep=37, index=0): None
80.9416 	DATA 	Keypress: up
80.9551 	EXP 	fixation: autoDraw = False
80.9551 	EXP 	grating: autoDraw = False
80.9551 	EXP 	grating: ori = 0.0
80.9551 	EXP 	fixation: autoDraw = True
81.9549 	EXP 	fixation: autoDraw = False
81.9549 	EXP 	grating: autoDraw = True
82.2548 	EXP 	grating: autoDraw = False
82.7746 	EXP 	New trial (rep=38, index=0): None
82.7756 	DATA 	Keypress: down
82.7883 	EXP 	fixation: autoDraw = False
82.7883 	EXP 	grating: autoDraw = False
82.7883 	EXP 	grating: ori = 0.0
82.7883 	EXP 	fixation: autoDraw = True
83.7879 	EXP 	fixation: autoDraw = False
83.7879 	EXP 	grating: autoDraw = True
84.0881 	EXP 	grating: autoDraw = False
84.6568 	EXP 	New trial (rep=39, index=0): None
84.6579 	DATA 	Keypress: down
84.6711 	EXP 	fixation: autoDraw = False
84.6711 	EXP 	grating: autoDraw = False
84.6711 	EXP 	grating: ori = 0.0
84.6711 	EXP 	fixation: autoDraw = True
85.6715 	EXP 	fixation: autoDraw = False
85.6715 	EXP 	grating: autoDraw = True
85.9713 	EXP 	grating: autoDraw = False
86.3061 	DATA 	Keypress: up
86.3238 	EXP 	New trial (rep=40, index=0): None
86.3377 	EXP 	fixation: autoDraw = False
86.3377 	EXP 	grating: autoDraw = False
86.3377 	EXP 	grating: ori = 0.0
86.3377 	EXP 	fixation: autoDraw = True
87.3377 	EXP 	fixation: autoDraw = False
87.3377 	EXP 	grating: autoDraw = True
87.6375 	EXP 	grating: autoDraw = False
87.9070 	EXP 	New trial (rep=41, index=0): None
87.9080 	DATA 	Keypress: up
87.9205 	EXP 	fixation: autoDraw = False
87.9205 	EXP 	grating: autoDraw = False
87.9205 	EXP 	grating: ori = 0.0
87.9205 	EXP 	fixation: autoDraw = True
88.9206 	EXP 	fixation: autoDraw = False
88.9206 	EXP 	grating: autoDraw = True
89.2205 	EXP 	grating: autoDraw = False
89.8061 	EXP 	New trial (rep=42, index=0): None
89.8072 	DATA 	Keypress: up
89.8205 	EXP 	fixation: autoDraw = False
89.8205 	EXP 	grating: autoDraw = False
89.8205 	EXP 	grating: ori = 3.0
89.8205 	EXP 	fixation: autoDraw = True
90.8205 	EXP 	fixation: autoDraw = False
90.8205 	EXP 	grating: autoDraw = True
91.1204 	EXP 	grating: autoDraw = False
91.3738 	EXP 	New trial (rep=43, index=0): None
91.3748 	DATA 	Keypress: up
91.3869 	EXP 	fixation: autoDraw = False
91.3869 	EXP 	grating: autoDraw = False
91.3869 	EXP 	grating: ori = 2.0
91.3869 	EXP 	fixation: autoDraw = True
92.3870 	EXP 	fixation: autoDraw = False
92.3870 	EXP 	grating: autoDraw = True
92.6867 	EXP 	grating: autoDraw = False
92.8396 	EXP 	New trial (rep=44, index=0): None
92.8407 	DATA 	Keypress: up
92.8532 	EXP 	fixation: autoDraw = False
92.8532 	EXP 	grating: autoDraw = False
92.8532 	EXP 	grating: ori = 0.0
92.8532 	EXP 	fixation: autoDraw = True
93.8533 	EXP 	fixation: autoDraw = False
93.8533 	EXP 	grating: autoDraw = True
94.1533 	EXP 	grating: autoDraw = False
94.6389 	EXP 	New trial (rep=45, index=0): None
94.6399 	DATA 	Keypress: up
94.6533 	EXP 	fixation: autoDraw = False
94.6533 	EXP 	grating: autoDraw = False
94.6533 	EXP 	grating: ori = -1.0
94.6533 	EXP 	fixation: autoDraw = True
95.6530 	EXP 	fixation: autoDraw = False
95.6530 	EXP 	grating: autoDraw = True
95.9532 	EXP 	grating: autoDraw = False
96.4220 	EXP 	New trial (rep=46, index=0): None
96.4230 	DATA 	Keypress: down
96.4362 	EXP 	fixation: autoDraw = False
96.4362 	EXP 	grating: autoDraw = False
96.4362 	EXP 	grating: ori = -2.0
96.4362 	EXP 	fixation: autoDraw = True
97.4363 	EXP 	fixation: autoDraw = False
97.4363 	EXP 	grating: autoDraw = True
97.7360 	EXP 	grating: autoDraw = False
98.3393 	EXP 	New trial (rep=47, index=0): None
98.3406 	DATA 	Keypress: down
98.3530 	EXP 	fixation: autoDraw = False
98.3530 	EXP 	grating: autoDraw = False
98.3530 	EXP 	grating: ori = 1.0
98.3530 	EXP 	fixation: autoDraw = True
99.3531 	EXP 	fixation: autoDraw = False
99.3531 	EXP 	grating: autoDraw = True
99.6524 	EXP 	grating: autoDraw = False
100.1217 	EXP 	New trial (rep=48, index=0): None
100.1227 	DATA 	Keypress: up
100.1360 	EXP 	fixation: autoDraw = False
100.1360 	EXP 	grating: autoDraw = False
100.1360 	EXP 	grating: ori = 0.0
100.1360 	EXP 	fixation: autoDraw = True
101.1361 	EXP 	fixation: autoDraw = False
101.1361 	EXP 	grating: autoDraw = True
101.4360 	EXP 	grating: autoDraw = False
101.6884 	EXP 	New trial (rep=49, index=0): None
101.6892 	DATA 	Keypress: up
101.6907 	EXP 	fixation: autoDraw = False
101.6907 	EXP 	grating: autoDraw = False
101.6907 	EXP 	grating: ori = 1.0
101.6907 	EXP 	fixation: autoDraw = True
102.7026 	EXP 	fixation: autoDraw = False
102.7026 	EXP 	grating: autoDraw = True
103.0024 	EXP 	grating: autoDraw = False
103.2587 	EXP 	New trial (rep=50, index=0): None
103.2604 	DATA 	Keypress: up
103.2687 	EXP 	fixation: autoDraw = False
103.2687 	EXP 	grating: autoDraw = False
103.2687 	EXP 	grating: ori = 0.0
103.2687 	EXP 	fixation: autoDraw = True
104.2689 	EXP 	fixation: autoDraw = False
104.2689 	EXP 	grating: autoDraw = True
104.5689 	EXP 	grating: autoDraw = False
104.8724 	EXP 	New trial (rep=51, index=0): None
104.8741 	DATA 	Keypress: up
104.8853 	EXP 	fixation: autoDraw = False
104.8853 	EXP 	grating: autoDraw = False
104.8853 	EXP 	grating: ori = 0.0
104.8853 	EXP 	fixation: autoDraw = True
105.8855 	EXP 	fixation: autoDraw = False
105.8855 	EXP 	grating: autoDraw = True
106.1852 	EXP 	grating: autoDraw = False
106.4899 	EXP 	New trial (rep=52, index=0): None
106.4917 	DATA 	Keypress: up
